날짜,NAV,시가,고가,저가,종가,거래량,괴리율,추적오차율
2017-05-31,30588.3,30515,30730,30480,30585,8540311,-0.01,2.4
2017-06-01,30523.82,30560,30635,30415,30500,9064658,-0.08,2.4
2017-06-02,30904.3,30620,30910,30615,30875,11555204,-0.09,2.4
2017-06-05,30854.16,30920,30970,30800,30830,5965670,-0.08,2.4
2017-06-07,30688.65,30805,30865,30645,30645,7073240,-0.14,2.4
2017-06-08,30743.5,30680,30815,30515,30800,6082878,0.18,2.4
2017-06-09,31056.9,30825,31105,30825,31030,6002153,-0.09,2.4
2017-06-12,30740.88,30835,30925,30680,30730,9448552,-0.04,2.4
2017-06-13,30919.72,30735,30940,30735,30900,7759524,-0.06,2.4
2017-06-14,30911.55,31010,31110,30815,30895,4987073,-0.05,2.4
2017-06-15,30785.9,30870,30980,30605,30770,6635992,-0.05,2.4
2017-06-16,30796.0,30780,30850,30710,30780,6472246,-0.05,2.4
2017-06-19,30978.15,30770,31030,30720,30945,7179309,-0.11,2.4
2017-06-20,31049.67,31100,31130,30975,31040,10953098,-0.03,2.4
2017-06-21,30869.58,30880,30910,30730,30845,11035679,-0.08,2.4
2017-06-22,31065.25,30935,31050,30850,31050,6920374,-0.05,2.4
2017-06-23,31143.65,31045,31180,31010,31125,11067733,-0.06,2.4
2017-06-26,31307.61,31155,31320,31140,31295,10055304,-0.04,2.4
2017-06-27,31330.18,31235,31390,31225,31305,10740854,-0.08,2.4
2017-06-28,31202.53,31170,31300,31160,31205,6795942,0.01,2.4
2017-06-29,31422.65,31370,31525,31370,31420,6384754,-0.01,2.4
2017-06-30,31341.62,31220,31325,31190,31325,10200611,-0.05,2.4
2017-07-03,31405.52,31395,31430,31260,31395,6314386,-0.03,2.4
2017-07-04,31211.36,31405,31435,31165,31200,8262663,-0.04,2.4
2017-07-05,31342.43,31125,31355,31115,31320,5744072,-0.07,2.4
2017-07-06,31352.75,31395,31395,31240,31325,6394300,-0.09,2.4
2017-07-07,31211.24,31200,31285,31115,31200,5436532,-0.04,2.41
2017-07-10,31291.56,31300,31390,31220,31305,4338365,0.04,2.41
2017-07-11,31504.85,31345,31500,31300,31480,4983074,-0.08,2.41
2017-07-12,31503.53,31480,31555,31450,31475,9780095,-0.09,2.41
2017-07-13,31782.63,31655,31980,31645,31815,12927108,0.1,2.41
2017-07-14,31882.85,31875,31955,31835,31860,11158387,-0.07,2.41
2017-07-17,31999.09,32060,32095,31935,31995,6425352,-0.01,2.41
2017-07-18,32012.63,31980,32005,31920,31985,6639047,-0.09,2.41
2017-07-19,32039.64,32040,32055,31910,32025,5615417,-0.05,2.41
2017-07-20,32209.32,32110,32235,32030,32190,5294771,-0.06,2.41
2017-07-21,32327.45,32155,32340,32155,32325,5658962,-0.01,2.41
2017-07-24,32349.56,32325,32325,32245,32315,3351267,-0.11,2.41
2017-07-25,32162.24,32325,32345,32135,32155,5120377,-0.02,2.41
2017-07-26,32093.02,32215,32225,32025,32080,3011509,-0.04,2.41
2017-07-27,32099.88,32185,32285,32105,32185,3536627,0.27,2.42
2017-07-28,31460.77,31975,31975,31430,31460,10331201,-0.0,2.42
2017-07-31,31507.21,31320,31510,31305,31460,11381687,-0.15,2.42
2017-08-01,31751.59,31395,31905,31355,31740,8635707,-0.04,2.42
2017-08-02,31817.6,31845,31910,31785,31825,5274644,0.02,2.42
2017-08-03,31277.61,31725,31740,31055,31260,7165948,-0.06,2.42
2017-08-04,31394.31,31340,31470,31240,31425,6521632,0.1,2.42
2017-08-07,31442.38,31455,31610,31395,31445,6370331,0.01,2.42
2017-08-08,31387.73,31510,31605,31215,31395,7209345,0.02,2.42
2017-08-09,30998.71,31155,31255,30955,31000,7663212,0.0,2.42
2017-08-10,30883.68,30895,31020,30630,30855,7584552,-0.09,2.42
2017-08-11,30318.28,30420,30525,30220,30290,6578604,-0.09,2.42
2017-08-14,30540.67,30510,30610,30430,30560,4921491,0.06,2.42
2017-08-16,30762.22,30835,30900,30705,30745,4457108,-0.06,2.42
2017-08-17,30947.57,30805,30985,30735,30920,7803995,-0.09,2.42
2017-08-18,30884.58,30670,30925,30645,30890,6948331,0.02,2.42
2017-08-21,30859.21,30975,30975,30790,30855,6667195,-0.01,2.42
2017-08-22,30980.1,30920,31030,30895,30960,4291518,-0.06,2.42
2017-08-23,31016.42,31160,31170,30930,30980,6962413,-0.12,2.42
2017-08-24,31117.93,31010,31205,31010,31125,5337470,0.02,2.42
2017-08-25,31165.41,31190,31255,31080,31145,4985027,-0.07,2.42
2017-08-28,30994.43,31125,31210,30940,30965,3676896,-0.09,2.42
2017-08-29,30905.98,30800,30885,30455,30885,7869563,-0.07,2.42
2017-08-30,31006.74,30945,31000,30875,31000,4468600,-0.02,2.42
2017-08-31,30869.58,31025,31060,30745,30810,7255256,-0.19,2.42
2017-09-01,30819.99,30915,30955,30700,30810,8286500,-0.03,2.42
2017-09-04,30461.02,30340,30675,30340,30465,6547950,0.01,2.42
2017-09-05,30448.4,30585,30590,30360,30435,6054832,-0.04,2.42
2017-09-06,30360.14,30380,30425,30285,30370,8924732,0.03,2.42
2017-09-07,30738.85,30475,30780,30450,30750,10150748,0.04,2.42
2017-09-08,30785.23,30800,30825,30705,30770,6400452,-0.05,2.42
2017-09-11,31025.43,30910,31170,30905,31050,6307328,0.08,2.42
